Pozo,YACIMIENTO,ZONA,STATUS2024,Petroleo(bopd),Oil Cum (MSTB),Cum Parinas(MSTB),Cum Verdun (MSTB),Cum Mogollon (MSTB),Cum Talara(MSTB)
10,NEGRITOS,O,DPA,,0,0,0,0,0
100,NEGRITOS,O,APA,,0,0,0,20.9,0
1000,LOMITOS,E,ATA,0.29,37.917,0,0,37.9,0
1001,LAGUNITOS,S,APA,1.06,39.432,0,39.4,0,0
1002,NEGRITOS,O,DPA,,0,0,0,0,0
1003,LAGUNITOS,S,ATA,1.5,49.52,0,49.5,0,0
1004,LAGUNITOS,S,APA,0.39,37.266,0,37.3,0,0
1005,LAGUNITOS,S,APA,0.79,36.479,0,36.5,0,0
1006,LAGUNITOS,S,ATA,0.16,57.674,0,57.7,0,0
1007,LAGUNITOS,S,APA,1.86,46.107,0,46.1,0,0
1008,LAGUNITOS,S,APA,0.3,35.557,0,35.6,0,0
1009,LAGUNITOS,S,APA,10.68,36.755,0,36.8,0,0
101,NEGRITOS,O,APA,0.16,1.928,0,0,0,0
1010,LAGUNITOS,S,DPA,,0,0,0,0,0
1011,LAGUNITOS,S,APA,1.42,36.114,0,36.1,0,0
1012,LAGUNITOS,S,ATA,0.23,48.117,0,48.1,0,0
1013,LAGUNITOS,S,ATA,0.26,54.048,0,54,0,0
1014,LAGUNITOS,S,ATA,0.39,58.249,0,58.2,0,0
1015,LAGUNITOS,S,ATA,0.2,43.788,0,43.8,0,0
1016,LAGUNITOS,S,APA,1.29,31.132,0,31.1,0,0
1017,LAGUNITOS,S,APA,0.33,38.683,0,38.7,0,0
1018,LAGUNITOS,S,ATA,0.32,56.996,0,57,0,0
1019,LAGUNITOS,S,ATA,0.1,47.43,0,47.4,0,0
102,NEGRITOS,O,APA,1286.65,39.886,0,0,39.9,0
1020,LAGUNITOS,S,ATA,0.07,69.316,0,69.3,0,0
1021,LAGUNITOS,S,APA,0.27,33.084,0,33.1,0,0
1022,LAGUNITOS,S,ATA,0.94,49.584,0,49.6,0,0
1023,LAGUNITOS,S,ATA,1.35,47.331,0,47.3,0,0
1024,LAGUNITOS,S,APA,0.03,36.304,0,36.3,0,0
1025,LAGUNITOS,S,ATA,0.32,65.695,0,65.7,0,0
1026,LAGUNITOS,S,DPA,,0,0,0,0,0
1027,LAGUNITOS,S,APA,0.4,32.241,0,32.2,0,0
1028,LAGUNITOS,S,ATA,0.1,46.805,0,46.8,0,0
1029,LAGUNITOS,S,ATA,0.1,37.309,0,37.3,0,0
103,NEGRITOS,O,APA,340.94,10.569,0,0,10.6,0
1030,LAGUNITOS,S,ATA,,0,0,0,0,0
1031,LAGUNITOS,S,APA,0.07,30.716,0,30.7,0,0
